"median","date_column"
1158905,"2021-05-12"
409592,"2021-05-12"
1133394,"2021-05-12"
438639,"2021-05-12"
397722,"2021-05-12"
414491,"2021-05-12"
1046209,"2021-05-12"
1166093,"2021-05-12"
403826,"2021-05-12"
1071882,"2021-05-12"
402059,"2021-05-12"
386097,"2021-05-12"
403552,"2021-05-12"
1134408,"2021-05-12"
398408,"2021-05-12"
398313,"2021-05-12"
378779,"2021-05-12"
387782,"2021-05-12"
1169848,"2021-05-12"
419452,"2021-05-12"
379599,"2021-05-12"
399950,"2021-05-12"
371068,"2021-05-12"
387980,"2021-05-12"
1047527,"2021-05-12"
1103998,"2021-05-12"
391302,"2021-05-12"
397017,"2021-05-12"
379861,"2021-05-12"
377277,"2021-05-12"
505208,"2021-05-12"
378544,"2021-05-12"
1018069,"2021-05-12"
367824,"2021-05-12"
1094606,"2021-05-12"
372583,"2021-05-12"
399502,"2021-05-12"
1091427,"2021-05-13"
1152276,"2021-05-13"
424133,"2021-05-13"
391361,"2021-05-13"
410009,"2021-05-13"
397274,"2021-05-13"
370038,"2021-05-13"
1120299,"2021-05-13"
372746,"2021-05-13"
375863,"2021-05-13"
1010817,"2021-05-13"
406160,"2021-05-13"
385044,"2021-05-13"
389603,"2021-05-13"
402663,"2021-05-13"
1113359,"2021-05-13"
391573,"2021-05-13"
403575,"2021-05-13"
407418,"2021-05-13"
366091,"2021-05-13"
396708,"2021-05-13"
407859,"2021-05-13"
392875,"2021-05-13"
713036,"2021-05-13"
437806,"2021-05-13"
373220,"2021-05-13"
407751,"2021-05-13"
990203,"2021-05-13"
1129961,"2021-05-13"
381570,"2021-05-13"
405947,"2021-05-13"
426317,"2021-05-13"
402962,"2021-05-13"
1080156,"2021-05-13"
617373,"2021-05-14"
1142875,"2021-05-14"
546283,"2021-05-14"
411541,"2021-05-14"
606125,"2021-05-14"
830661,"2021-05-14"
1151747,"2021-05-14"
